스킬ID,스킬,타겟_범위,타겟_태그
25079,(추천할인) 내 아이의 합격운: 인생 피는 진로 풀이,"연애상태_싱글, 연애상태_커플","가족자녀운, 학업직업운"
35202,그 사람에게 난 도대체 뭘까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
36501,속마음: 진심과 곧 할 말은?,"연애상태_싱글, 연애상태_커플",연애_속마음
29950,굳게 믿던 내 편에게 발등 찍혔을 때,"연애상태_싱글, 연애상태_커플",
34602,"내 미래 애인은 연상일까, 연하일까?","연애상태_싱글, 연애상태_커플",
31905,나는 어떤 사람과 결혼하게 될까? | 리니,"연애상태_싱글, 연애상태_커플",연애_결혼
34573,그 사람에게 난 언제 특별해질까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_새로운만남"
26189,"[썸] 너와 나, 사귀면 어떨까?💖",연애상태_싱글,"연애_궁합관계, 연애_새로운만남"
49651,"늘 항상 당신이 궁금해하는 그 사람이 숨기는 본심과 의도, 그리고 욕심.","연애상태_싱글, 연애상태_커플",연애_궁합관계
39788,부적 업셀링 트래킹용 (1500원),"연애상태_싱글, 연애상태_커플",
39028,그 사람은 나를 좋아할까? 🌷🍷#사주타로,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
50608,[초반무료]7카드:그 사람 돌아올까요?#재회운#심층분석,연애상태_싱글,"연애_궁합관계, 연애_재회"
35173,걔는 나를 연애 상대로 볼까? | 오지은,"연애상태_싱글, 연애상태_커플",연애_일반
30546,🎁올해 나에게 다가오게 될 인연은?💘#샐리타로,"연애상태_싱글, 연애상태_커플",연애_일반
41401,[매력] 그 사람은 나에게 어떤 매력을 느낄까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
30690,[얼리버드] 내 무의식과 진짜 모습,"연애상태_싱글, 연애상태_커플",
28169,그 사람 아직 나한테 미련 있을까? | 이미담,연애상태_싱글,"연애_궁합관계, 연애_재회"
33604,"친구로 남을까, 연인이 될까?","연애상태_싱글, 연애상태_커플",
36026,그 사람 나랑 재회 마음 있을까?,연애상태_싱글,"연애_궁합관계, 연애_속마음, 연애_재회"
48760,🙏그사람은 현재 어떤 마음일까?(2500자~),"연애상태_싱글, 연애상태_커플",연애_속마음
44965,{{이름}}님이 얼마나 예쁜지 알려드릴게요.💖,"연애상태_싱글, 연애상태_커플",
34671,내게 숨긴 진심과 앞으로의 행동 변화,"연애상태_싱글, 연애상태_커플",연애_속마음
35596,미래 흐름: 조만간 어떤 사이가 될까?,"연애상태_싱글, 연애상태_커플",
32663,이 사람이 정말 내 운명 일까?❓💗#데아타로,"연애상태_싱글, 연애상태_커플",연애_일반
35857,궁합: 그 사람과 어떤 관계가 될까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
30445,미래를 대박으로 바꿀 수 있는 비법 📕  #아이비스타로,"연애상태_싱글, 연애상태_커플",재물금전운
36498,그 사람 감정과 곧 보일 행동은?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
33360,나의 올가을 연애운 🍁,"연애상태_싱글, 연애상태_커플",연애_일반
47441,🙏[뉴버젼]상대방에게 다른 이성이 있을까?(3000자~)🤔❤️,"연애상태_싱글, 연애상태_커플",
35604,속마음 심층운: 내게 전하려는 말은?,"연애상태_싱글, 연애상태_커플",연애_속마음
35694,솔탈운: 솔탈 누구와 언제 할까?,"연애상태_싱글, 연애상태_커플",연애_새로운만남
26563,그 사람 아직 나한테 미련 있을까? | 레미니씬,연애상태_싱글,"연애_궁합관계, 연애_재회"
31833,[포토카드 4장] 그 사람의 심층 속마음,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
34339,"재회운, 속마음: 그 사람 내 생각 할까?",연애상태_싱글,"연애_궁합관계, 연애_속마음, 연애_재회"
42326,"유튜브운: 내가 유튜브하면 잘할 상인가?(1카드, 2984자) 유튜브를 한다면 어떤 게 잘 어울릴 지, 돈은 얼마나 잘 벌 지 알려드려요!",전체,재물금전운
51004,당신을 차단한 그사람의 숨은 본심과 선톡가능성,"연애상태_싱글, 연애상태_커플",
37113,이별과 재회: 그 사람 속마음,연애상태_싱글,"연애_궁합관계, 연애_속마음, 연애_재회"
36195,그 사람이 당신에게 말하지 못한 마음을 대신 전해 드립니다.🎁#팩트폭력,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
31865,"운명의 그사람, 언제 내게 다가올까?🏖 #아이비스타로","연애상태_싱글, 연애상태_커플",연애_새로운만남
33643,나를 연애상대로 볼까?,"연애상태_싱글, 연애상태_커플",연애_일반
44472,"간단🍑도화운:이성들이, 궁금한 그 사람이 처음 보고 느끼는 나의 매력?(1카드,3600자)","연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_새로운만남"
26566,걔도 지금 나 보고 싶을까? | 레미니씬,"연애상태_싱글, 연애상태_커플",연애_속마음
36507,그 사람은 나에게 뭘 기대하고 있을까? 🌈 🦄#수월화타로,"연애상태_싱글, 연애상태_커플",연애_궁합관계
36654,심층 재회운: 다시 만날 수 있을까,연애상태_싱글,연애_재회
35794,재회운: 그 사람 마음 변했을까?,연애상태_싱글,"연애_궁합관계, 연애_속마음, 연애_재회"
27080,내 운명 지금 어디 있을까? | 미나상,"연애상태_싱글, 연애상태_커플",연애_일반
35601,짝사랑: 속마음과 핵심 조언,연애상태_싱글,"연애_새로운만남, 연애_속마음"
33363,9월 솔로 연애운&재물운,연애상태_싱글,"연애_새로운만남, 재물금전운"
19097,私たちの愛をもっと深めるには？,"연애상태_싱글, 연애상태_커플",
35269,"재회운: 그 사람, 아직 날 사랑할까?",연애상태_싱글,"연애_궁합관계, 연애_속마음, 연애_재회"
35270,그 사람과 곧 무슨 일이 생길까?,연애상태_싱글,"연애_궁합관계, 연애_새로운만남"
35233,연락운: 그 사람이 감춘 진짜 속마음은?,연애상태_싱글,"연애_궁합관계, 연애_속마음, 연애_재회"
46318,"🙏그사람과 나, 앞으로 어떻게 될까?(4000자~)","연애상태_싱글, 연애상태_커플",
37844,"그 사람의 속마음 ❤ 미래의 인연운,크리스탈로 읽어 드립니다#크리스탈힐러레아","연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
21337,(트랙킹용) 2022년 하반기 운세 보고서 부적 1개,전체,"신년운세, 종합운"
43942,새해복🧧운:앗 싸다💰새해에 내가 갖게 될 가장 큰 행운(1카드 3500자) #금전운 #2025 #2026 #2027 #신년운세 #새해복 #을사년 #연애운 #가정운 등,연애상태_커플,"신년운세, 연애_일반, 재물금전운"
46319,🙏그사람의 진짜 속마음!!(3000자~),"연애상태_싱글, 연애상태_커플",연애_속마음
36189,"2025년 솔탈, 누구랑 할까?",전체,신년운세
50808,🪭타로&오방기: 나에 대한 마음은...  지금 어떻게 흐르고 있을까?,"연애상태_싱글, 연애상태_커플",연애_속마음
42622,내가 사랑하는 그사람이 나에게 다가오지 않는 이유(3300자~),"연애상태_싱글, 연애상태_커플",연애_일반
28172,그 사람 속마음 [심화편] | 이미담,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
48598,🪭타로&오방기: 조만간 내게 다가오는 뜻밖의 고백운!,연애상태_싱글,연애_새로운만남
38662,YES or NO 무엇이든 물어보세요!,"연애상태_싱글, 연애상태_커플",
45922,그사람의 속마음과 두사람의 미래를 알려주마,"연애상태_싱글, 연애상태_커플",연애_속마음
39792,(업셀링_3번위기) 내 사주의 인생 2막 언제 올까?,"연애상태_싱글, 연애상태_커플","연애_새로운만남, 연애_위기갈등"
36657,그사람은 크리스마스에 나와 무엇을 하고 싶을까? 총 3000자 🎅🎄⛪ #타로라포,"연애상태_싱글, 연애상태_커플",
34947,소개팅 애프터 확률 100% 티키타카 연습,연애상태_싱글,연애_새로운만남
34967,"그 사람 마음 변화, 곧 보일 행동은?","연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
35035,"속마음 연락운, 내게 어떤 감정일까?",연애상태_싱글,"연애_속마음, 연애_재회"
23916,해몽 : 꿈에 나온 전연인,연애상태_싱글,연애_재회
51697,[팩트] 그 사람이 당신을 좋아하는지 칼같은 팩트로 알려드려요 🔥🔥,"연애상태_싱글, 연애상태_커플",연애_궁합관계
36591,[추천할인] 인생 역전의 비밀: 내 사주의 주목할 운명(運命)은?,"연애상태_싱글, 연애상태_커플",연애_일반
36022,그 사람이 숨긴 진짜 감정은?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
37542,속마음: 그 사람 진심과 미래,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
26562,좋아하는 그 사람의 속마음은? | 레미니씬,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
24756,[협력유통] 2023년에 솔로 탈출할 수 있을까? | 유니콘타로,연애상태_싱글,"신년운세, 연애_새로운만남"
38035,"그사람의 속마음 그리고 재회 ""너 밖에 없어""",연애상태_싱글,"연애_속마음, 연애_재회"
36023,계속 좋아하면 어떤 관계가 될까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
34591,다시 사랑 할 수 있을까요? 그사람은 미련이 남았을까요? 🙏🏻#속마음 #재회 #아이비스타로,연애상태_싱글,"연애_속마음, 연애_재회"
19297,[빼빼로데이] 2022년 월별 운세,전체,신년운세
29983,[컬렉션 뽑기 4회] D-DAY 타로: 솔로 탈출까지 며칠 남았을까? | 총몇명,연애상태_싱글,연애_새로운만남
30482,🎀*곧 나에게 다가올 사랑이야기* #아이비스타로,"연애상태_싱글, 연애상태_커플",연애_일반
27082,좋아하는 그 사람의 속마음은? | 미나상,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
19030,あなたの人生を変えるキーパーソン,"연애상태_싱글, 연애상태_커플",
34144,"2025년, 그 사람 내가 갖는 법","연애상태_싱글, 연애상태_커플","신년운세, 연애_궁합관계"
19028,復縁の可能性・確率は？,"연애상태_싱글, 연애상태_커플",
27153,세이렌이 전하는 짝사랑 조언,연애상태_싱글,연애_새로운만남
38927,짝사랑과 미래: 어떻게 될까,연애상태_싱글,연애_새로운만남
50674,30일 안에 벌어질 연애적 사건#변화운,"연애상태_싱글, 연애상태_커플",연애_일반
38960,직장 계속 다닐까? 때려칠까? 🌭🍱#샐리타로,"연애상태_싱글, 연애상태_커플",학업직업운
39790,부적 업셀링 트래킹용 (4500원),"연애상태_싱글, 연애상태_커플",
28175,썸 어떻게 될까? | 이미담,연애상태_싱글,연애_새로운만남
36354,[깜짝 타임세일A] 그 사람과 나의 결혼 궁합,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계, 연애_새로운만남"
35433,그 사람이 보는 내 매력과 관계 흐름,"연애상태_싱글, 연애상태_커플",연애_궁합관계
34598,그사람은 나에게 어떤 인연일까요? #타로샐리,"연애상태_싱글, 연애상태_커플",연애_일반
38421,"[재회운, 속마음] 그사람의 마음을 되돌리려면?🥂❣️",연애상태_싱글,"연애_속마음, 연애_재회"
35002,그 사람이 2주 안에 전할 말은?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
30447,"이성이 나에게 느끼는 매력, 나에게 곧 다가올 연인은? #디오타로","연애상태_싱글, 연애상태_커플",
30557,짝사랑 이루어질까? | 추단비,연애상태_싱글,연애_새로운만남
37346,절대 말하지 않는 진심과 사정,"연애상태_싱글, 연애상태_커플",연애_속마음
36287,우리 관계의 문제점 진단과 처방!! 💉💊#아이비스타로,"연애상태_싱글, 연애상태_커플",연애_궁합관계
34709,우리 인연의 3개월간 흐름은 어떻게 될까?🕰️  #샐리타로,"연애상태_싱글, 연애상태_커플",연애_일반
33233,블린이를 위한 네이버 블로그 기초,"연애상태_싱글, 연애상태_커플",
52093,멀어진 후에 그 사람의 속마음은? 언제 연락올까?,연애상태_싱글,"연애_궁합관계, 연애_새로운만남, 연애_속마음, 연애_재회"
36288,꼭 확인해야 할!! 나에게 다가올 복운 🧧,"연애상태_싱글, 연애상태_커플",
51501,[창광_25하반기] 2개 구매자 추가 할인,"연애상태_싱글, 연애상태_커플",신년운세
35172,그 사람 속마음 [심화편] | 오지은,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
18842,3カード：今後の恋人のルックス・性格・職業は？,"연애상태_싱글, 연애상태_커플",
50839,"🪭타로&오방기: 다가오는 점지된 인연, 어떤 사람일까?","연애상태_싱글, 연애상태_커플",연애_일반
38728,마음 속 그 사람과 미래 관계는,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
33547,그 사람과의 재회운🙏🏻🙏🏻#데아타로,연애상태_싱글,"연애_궁합관계, 연애_재회"
28548,다음달 수입 지출 금전운 흐름 어때?,전체,재물금전운
35704,속마음과 취향: 짝사랑 조언 풀이,연애상태_싱글,"연애_새로운만남, 연애_속마음"
34347,[연락운] 곧 나에게 운명적으로 다가올 인연,연애상태_싱글,"연애_새로운만남, 연애_재회"
34321,그 사람도 정말 날 좋아할까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
46155,그 사람의 비밀스러운 속마음,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
37050,내게 고백을 고민하는 사람은?,연애상태_싱글,연애_새로운만남
48662,🪭타로&오방기: 들키고 싶지 않은 그 사람의 진짜 마음은..,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
36650,재회 속마음: 지금 어떤 감정일까?,연애상태_싱글,"연애_속마음, 연애_재회"
36389,그 사람 행동 의미와 속마음,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
35363,재회운: 다시 만나면 행복할까?,연애상태_싱글,연애_재회
34836,그 사람의 이상형은 뭘까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
19050,あの人と結婚したらどうなる？,"연애상태_싱글, 연애상태_커플",
18862,あなたをチョコレートにすると…？,"연애상태_싱글, 연애상태_커플",
33005,난 무엇을 판매해야 할까?,"연애상태_싱글, 연애상태_커플",
19038,二者択一占い,"연애상태_싱글, 연애상태_커플",
2464,외로움 테스트 - 나는 외로운가?,"연애상태_싱글, 연애상태_커플",
42624,마음을 알수 없는 그사람:그사람도 나와 같은 마음일까?(3300자~),"연애상태_싱글, 연애상태_커플",연애_속마음
30002,이성이 빠져드는 나의 매력은 어떤것일까?,"연애상태_싱글, 연애상태_커플",
34053,그 사람의 속마음과 보여 줄 행동 흐름은 뭘까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
33052,[소개팅] 두근두근 소개팅💕 얼마나 성공적일까?,연애상태_싱글,연애_새로운만남
42328,그 사람은 어떤 스타일의 스퀸쉽을 좋아할까?🩷💛💚,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
36500,그 사람 진심과 연락 뜸한 이유,연애상태_싱글,"연애_궁합관계, 연애_속마음, 연애_재회"
36982,그 사람과 어떤 사이로 발전할까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
34380,연락운 심층 풀이: 연락 언제 올까?,연애상태_싱글,"연애_새로운만남, 연애_재회"
41731,"간단금전운💰💖 이번 달 나의 금전운은? (1글자 3500자)
#금전운 #타로 #투자",전체,재물금전운
36584,속마음: 지금 관계 어떻게 생각할까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
39124,연애운 인간관계운 :상대방 성격 & 나와의 궁합,"연애상태_싱글, 연애상태_커플",연애_궁합관계
35695,"연락 뜸한 그 사람, 내게 어떤 마음일까",연애상태_싱글,"연애_궁합관계, 연애_속마음, 연애_재회"
36030,먼저 연락하면 연인으로 이어질까?,연애상태_싱글,연애_재회
29588,(남자친구 편) 연애 싸움 확실하게 이기는 방법,"연애상태_싱글, 연애상태_커플",연애_일반
33516,내 결혼 상대의 외모와 성격은?,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
32662,악귀 같은 인연에서 벗어날수 있을까?.👻👿😈☠️#아이비스타로,"연애상태_싱글, 연애상태_커플",연애_일반
35210,너만 모르던 그 사람 진심과 속마음,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
34705,그 사람은 나랑 어떻게 하고 싶을까요?🤔😮‍💨  #샐리타로,"연애상태_싱글, 연애상태_커플",연애_궁합관계
25634,다음 연애 상대는?,"연애상태_싱글, 연애상태_커플",연애_일반
40580,그 사람과 인연이 되려면 어떻게 해야 할까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
34674,"끝까지 숨긴 진심, 곧 보일 행동은?","연애상태_싱글, 연애상태_커플",연애_속마음
36658,궁합: 친구와 연인 그리고 배우자,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계"
44404,상대방속마음/ 미래 관계 흐름/ 조언,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
35600,날 원하는 사람의 특징과 외모,"연애상태_싱글, 연애상태_커플",
42822,재회: 그 사람의 이별본심 그리고 재회가능성,연애상태_싱글,"연애_궁합관계, 연애_재회"
40906,단 하나의 소원을 이루는 주술방법 📕🙏,"연애상태_싱글, 연애상태_커플",
54009,독이되는 관계: 6카드 스프레드,"연애상태_싱글, 연애상태_커플",연애_궁합관계
28799,내 사주 속 겁재를 현대적으로 풀이하면?!,"연애상태_싱글, 연애상태_커플",종합운
38466,연락 없는 이유와 속마음,연애상태_싱글,"연애_속마음, 연애_재회"
35034,짝사랑 풀이: 내 맘 언제 알아줄까?,연애상태_싱글,연애_새로운만남
19014,今私に想いを寄せてる人は？,"연애상태_싱글, 연애상태_커플",
39265,내가 굳이 나서지 않아도  그 사람이 받을 벌🔥💢#샐리타로,"연애상태_싱글, 연애상태_커플",연애_궁합관계
35113,[주변 관심운] 내게 관심 있는 사람 누굴까?,"연애상태_싱글, 연애상태_커플","연애_새로운만남, 연애_속마음"
30555,그 사람 속마음 [심화편] | 추단비,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
37118,상대방에게서 문자나 전화가 뜸해진 이유는? 🌸❤️‍🔥#타로라포,"연애상태_싱글, 연애상태_커플",
25482,나의 결혼운과 배우자운,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
32797,내맘을 온기로 채워줄 사랑은 언제 찾아올까?!,"연애상태_싱글, 연애상태_커플",연애_새로운만남
36326,지금 당신을 신경쓰고 있는 사람은?,"연애상태_싱글, 연애상태_커플",
28183,✨데일리 운세와 조언✨ 1장 🧚🏻‍♀️,"연애상태_싱글, 연애상태_커플",종합운
36141,속마음과 곧 보일 행동은?,"연애상태_싱글, 연애상태_커플",연애_속마음
25445,그 사람도 나를 좋아할까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
34580,곧 나에게 다가올 운명의 짝 알아보기❣️#디오타로,"연애상태_싱글, 연애상태_커플",연애_일반
37119,주역: 뇌택귀매(雷澤歸妹) 다시 돌아와요..💎🌷.#타로샐리,"연애상태_싱글, 연애상태_커플",연애_재회
35864,감춰진 진심과 2주 안에 일어날 일,"연애상태_싱글, 연애상태_커플",연애_속마음
37379,"곧 만날 운명의 외모, 성격, 장소","연애상태_싱글, 연애상태_커플",연애_일반
37544,재회운: 아직 날 잊지 못했을까?,연애상태_싱글,연애_재회
29720,그대의 연애운에서 강점과 약점을 알려줄게요~,"연애상태_싱글, 연애상태_커플",연애_일반
39791,(업셀링_3번위기) 인생 역전의 비밀: 내 사주에 주목할 운명은?,"연애상태_싱글, 연애상태_커플",연애_위기갈등
37682,연락운: 뜸한 이유와 속사정,연애상태_싱글,연애_재회
49354,"그사람이 너에게 하고싶은 말, 속마음","연애상태_싱글, 연애상태_커플",연애_속마음
38464,"그 사람과 나, 재회 가능할까?",연애상태_싱글,"연애_궁합관계, 연애_재회"
35272,나는 투자를 해서 돈을 잘 벌 수 있을까?,전체,재물금전운
34382,내 미래의 배우자는 어떤 사람일까?,"연애상태_싱글, 연애상태_커플",연애_결혼
35006,"날 좋아하는 사람, 그 사람 맞을까?","연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
26162,한 장으로 보는 미래의 연인 이미지,"연애상태_싱글, 연애상태_커플",연애_새로운만남
35036,곧 하게 될 그 사람의 말과 행동은?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
22229,(추천할인) 내 사주의 악인(惡人): 싹을 잘라야 할 불행의 근원,"연애상태_싱글, 연애상태_커플",종합운
51964,[팩트] 지금!! 당신이 생각하는 바로 그 사람의 속마음과 향후 마음변화.,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
35494,(비트윈 전용) 사주로 보는 내 타고난 결혼운,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
35859,지금 내게 완전 관심 있는 사람은?,"연애상태_싱글, 연애상태_커플",연애_속마음
24772,[협력유통] 2023년 나에게 찾아올 12가지 행운 | 하바별타,전체,신년운세
36092,속마음: 내게 얼마나 마음 있을까?,"연애상태_싱글, 연애상태_커플",연애_속마음
39510,나에게 관심이 있는건가요?🪂⚓ #데아타로,"연애상태_싱글, 연애상태_커플",연애_속마음
36024,내 결혼 상대 누굴까?,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
27718,걔도 지금 나 보고 싶을까? | 톡신,"연애상태_싱글, 연애상태_커플",연애_속마음
39619,너는 나를 좋아하는 걸까? 🌈🌻#허니비타로,"연애상태_싱글, 연애상태_커플",
28168,좋아하는 그 사람의 속마음은? | 이미담,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
37543,짝사랑 계속하면 미래는 어떨까?,연애상태_싱글,연애_새로운만남
36979,짝사랑 이대로 괜찮을까?,연애상태_싱글,연애_새로운만남
42061,[히든 스킬] 내 인생 황금기와 암흑기: 사주팔자 풀이,전체,종합운
35706,[테스트 해설] 나는 매력적인 사람인가요?,"연애상태_싱글, 연애상태_커플",
55657,"🪭타로&오방기:다음 연애, 언제 어떤 사람과 시작될까?","연애상태_싱글, 연애상태_커플",연애_새로운만남
27084,걔는 나를 연애 상대로 볼까? | 미나상,"연애상태_싱글, 연애상태_커플",연애_일반
26375,수호천사의 메시지,"연애상태_싱글, 연애상태_커플",
30018,"다음 연애 언제, 어디서 시작될까? | 융나","연애상태_싱글, 연애상태_커플",연애_새로운만남
29724,올여름 연애운은?,"연애상태_싱글, 연애상태_커플",연애_일반
36001,나를 어떻게 생각하고 있니?🎀💍#데아타로,"연애상태_싱글, 연애상태_커플",연애_속마음
41863,썸타는 상대방과 이루어질 수 있을까?,연애상태_싱글,연애_새로운만남
26460,그 사람의 호감지수는?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
34870,(굿즈 할인) 2024년 신년운세 보고서,전체,"신년운세, 종합운"
34051,그 사람도 나와 다시 만나고 싶을까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
27641,오늘의 나를 위한 딱 한 달 타로레시피,"연애상태_싱글, 연애상태_커플",
37350,상반기 연애운 & 금전운,"연애상태_싱글, 연애상태_커플","연애_일반, 재물금전운"
25530,자녀양육은 처음이라서🥲 : 자녀 성격 유형 검사,연애상태_커플,가족자녀운
43150,썸타는 상대가 날 어떻게 생각할까? 그 사람의 진짜 속마음은?,연애상태_싱글,"연애_궁합관계, 연애_새로운만남, 연애_속마음"
46648,❤️2025년 전체연애운❤️,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
26025,(추천할인) 자녀 성공운: 20대에 연봉 1억 만드는 법,연애상태_커플,가족자녀운
26120,(추천할인) 3개월 안에 만나게 될 소개팅 상대는?,연애상태_싱글,연애_새로운만남
37053,그 사람과 나의 결정된 미래는?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
32970,속마음타로💙다툼운...하루가 멀다 하고 싸워요. 😣😥😔 #디오타로,"연애상태_싱글, 연애상태_커플",연애_속마음
26131,삶의 조언 오라클 카드 3장 뽑기,"연애상태_싱글, 연애상태_커플",
33619,짝사랑 풀이: 핵심 조언과 흐름,연애상태_싱글,연애_새로운만남
36188,[속마음] 감춰진 진심과 행동은?,"연애상태_싱글, 연애상태_커플",연애_속마음
34673,차마 말 못 한 진심과 미래 흐름,"연애상태_싱글, 연애상태_커플",연애_속마음
27974,당신에게 필요한 연애 조언(솔로),연애상태_싱글,연애_새로운만남
49620,이때쯤 연락을 해 올꺼예요!  (그 사람은 언제쯤 연락을 해올까? ),연애상태_싱글,"연애_궁합관계, 연애_새로운만남, 연애_재회"
35796,끝까지 숨긴 그 사람 속마음은?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
47671,"이번 시험 결과, 추가 합격 가능성","연애상태_싱글, 연애상태_커플",학업직업운
27088,3개월 안에 애인 생길까? | 미나상,연애상태_싱글,연애_새로운만남
36435,[속마음] 그 사람 감정과 마음,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
47440,🙏그사람은 내연락을 기다리고 있을까?(3000자~) 🤔❤️,연애상태_싱글,연애_재회
35858,날 좋아해서 곧 행동할 사람은?,"연애상태_싱글, 연애상태_커플",연애_속마음
30545,👑나의 전생을 알고 싶나요? #디오타로,"연애상태_싱글, 연애상태_커플",
36436,결혼운: 상대 외모와 특징은?,"연애상태_싱글, 연애상태_커플",연애_결혼
36000,그 사람의 진심을 세상 솔직하게 알려 드릴께요!!🍷🥂#아이비스타로,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
30944,왜 내 연애는 매번 망하는 걸까?,"연애상태_싱글, 연애상태_커플",연애_일반
24764,(추천할인) 외로움 악순환에서 벗어나는 3가지 방법,"연애상태_싱글, 연애상태_커플",
36980,속마음과 관계 해답 풀이,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
34944,무례한 사람에게 대응하기 티키타카 연습,"연애상태_싱글, 연애상태_커플",
35365,관심운: 그 사람 내게 관심 있을까?,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_속마음"
30030,먼저 연락 올 확률은? | 융나,연애상태_싱글,연애_재회
26649,나의 운명적인 사랑은 어떨까?,"연애상태_싱글, 연애상태_커플",연애_일반
26008,앞으로 좋은 사람을 만날 수 있을까?,"연애상태_싱글, 연애상태_커플",
47308,그 사람의 진짜 변심이유/ 돌아올까,"연애상태_싱글, 연애상태_커플","연애_궁합관계, 연애_재회"
55659,"🪭타로&오방기:앞으로 3주, 우리 사이에 일어날 일🔮(추가카드있음)","연애상태_싱글, 연애상태_커플",연애_새로운만남
40148,나는 아직도 이렇게 힘든데 SNS의 너는 잘 지내고 있나보네!! (재회),연애상태_싱글,연애_재회
38926,재회운: 나랑 만날 마음 있을까,연애상태_싱글,"연애_속마음, 연애_재회"
45592,그 사람과 인연일까?,"연애상태_싱글, 연애상태_커플",연애_궁합관계
35861,진짜 진심과 곧 하게 될 표현은?,"연애상태_싱글, 연애상태_커플",연애_속마음
49717,그 사람이 철벽같은 침묵속에 숨긴 본심 그리고 당신과의 결말.,"연애상태_싱글, 연애상태_커플",연애_궁합관계
16138,반려동물 이름짓기,"연애상태_싱글, 연애상태_커플",
34691,"그 사람 심정 변화, 곧 바뀔 우리 관계는?","연애상태_싱글, 연애상태_커플",연애_궁합관계
37410,재회운: X의 재회 속마음,연애상태_싱글,"연애_속마음, 연애_재회"
44734,"임신🍀닮음운: 이후에 만날 우리아이, 누구를 닮을까?(1카드,3600자)",연애상태_커플,가족자녀운
39289,나를 향한 속마음 말해줄래❤️🩷#샐리타로,"연애상태_싱글, 연애상태_커플",연애_속마음
38399,연락 속사정: 먼저 연락한다면,연애상태_싱글,연애_재회
39787,"핵심 아이 진로운👼 운명에 적힌 우리 아이 적성, 특기, 직업군은?? 😄 ❤️ 조언과 가장 좋은 방향성까지 👀💘","연애상태_싱글, 연애상태_커플","연애_일반, 학업직업운"
